Date,Open,High,Low,Close,Adj Close,Volume
2011-10-12,32.950001,34.000000,32.000000,32.299999,24.242331,4128
2011-10-13,33.000000,33.000000,32.400002,32.650002,24.505020,5776
2011-10-14,32.150002,33.250000,31.200001,32.799999,24.617601,6842
2011-10-17,32.400002,36.099998,32.250000,35.150002,26.381359,41780
2011-10-18,35.000000,35.500000,33.599998,34.000000,25.518246,11360
2011-10-19,34.299999,35.400002,33.299999,33.450001,25.105452,13328
2011-10-20,35.000000,35.000000,33.000000,33.150002,24.880291,8877
2011-10-21,33.049999,33.900002,32.500000,33.099998,24.842764,12077
2011-10-24,32.200001,34.000000,32.200001,33.000000,24.767710,9123
2011-10-25,32.349998,33.400002,32.349998,32.950001,24.730185,6406
2011-10-28,33.900002,33.950001,32.099998,32.349998,24.279858,34336
2011-10-31,32.700001,33.150002,32.400002,33.000000,24.767710,10594
2011-11-01,33.000000,33.500000,32.700001,33.200001,24.917814,8343
2011-11-02,32.700001,33.849998,32.700001,33.349998,25.030396,7203
2011-11-03,32.700001,33.900002,32.700001,33.250000,24.955343,1349
2011-11-04,34.000000,34.000000,33.099998,33.250000,24.955343,6386
2011-11-08,34.000000,34.000000,32.099998,32.599998,24.467493,9052
2011-11-09,33.799999,33.950001,32.299999,32.400002,24.317389,20460
2011-11-11,31.700001,32.400002,30.850000,31.650000,23.754486,13678
2011-11-14,34.349998,34.349998,31.000000,31.350000,23.529325,10116
2011-11-15,30.950001,31.600000,30.500000,30.500000,22.891365,7217
2011-11-16,30.200001,31.000000,29.600000,29.799999,22.365992,10863
2011-11-17,29.799999,30.500000,29.000000,29.950001,22.478573,5516
2011-11-18,29.100000,31.000000,28.500000,28.900000,21.690510,11783
2011-11-21,30.000000,30.000000,28.000000,28.350000,21.277714,11518
2011-11-22,29.600000,29.600000,28.000000,28.049999,21.052553,18708
2011-11-23,28.600000,28.600000,27.500000,27.950001,20.977497,4093
2011-11-24,27.150000,28.950001,27.150000,27.500000,20.639753,11690
2011-11-25,27.299999,29.000000,27.299999,27.900000,20.939974,7931
2011-11-28,28.000000,28.350000,27.950001,28.049999,21.052553,8428
2011-11-29,28.000000,28.250000,27.049999,27.900000,20.939974,3758
2011-11-30,27.750000,28.000000,27.049999,27.750000,20.827391,4938
2011-12-01,28.000000,28.250000,27.750000,28.000000,21.015028,3101
2011-12-02,27.500000,27.900000,26.299999,26.650000,20.001801,48741
2011-12-05,27.650000,28.500000,27.000000,27.799999,20.864916,8178
2011-12-07,28.000000,28.000000,27.200001,27.450001,20.602230,8570
2011-12-08,27.200001,27.450001,26.549999,26.799999,20.114382,4699
2011-12-09,26.000000,26.900000,26.000000,26.400000,19.814167,8624
2011-12-12,26.000000,26.799999,24.850000,25.100000,18.838467,47825
2011-12-13,25.049999,25.600000,24.900000,25.350000,19.026102,10010
2011-12-14,25.500000,25.500000,24.700001,24.799999,18.613306,5455
2011-12-15,24.299999,25.450001,24.000000,24.700001,18.538258,6225
2011-12-16,24.500000,25.350000,24.500000,24.500000,18.388147,4539
2011-12-19,24.549999,25.200001,24.299999,24.799999,18.613306,7729
2011-12-20,25.950001,25.950001,24.049999,24.049999,18.050402,4332
2011-12-21,24.049999,25.000000,23.549999,24.350000,18.275566,3548
2011-12-22,24.000000,24.950001,23.000000,24.500000,18.388147,6636
2011-12-23,24.799999,26.000000,24.799999,25.200001,18.913523,15680
2011-12-26,25.650000,25.900000,25.200001,25.750000,19.326319,5748
2011-12-27,26.299999,26.799999,25.750000,25.950001,19.476425,5282
2011-12-28,25.299999,25.750000,24.700001,25.450001,19.101158,14596
2011-12-29,25.600000,25.600000,24.500000,25.250000,18.951052,7215
2011-12-30,25.600000,25.850000,25.100000,25.400000,19.063627,11316
2012-01-02,25.549999,26.700001,25.549999,26.250000,19.701586,10843
2012-01-03,26.799999,28.299999,26.799999,27.900000,20.939974,15748
2012-01-04,27.049999,28.950001,27.049999,27.799999,20.864916,3905
2012-01-05,27.250000,28.600000,27.250000,28.049999,21.052553,5949
2012-01-06,28.500000,28.750000,27.250000,28.350000,21.277714,9408
2012-01-07,null,null,null,null,null,null
2012-01-09,29.500000,31.000000,29.000000,30.100000,22.591156,23829
2012-01-10,30.750000,32.000000,30.000000,30.549999,22.928892,14402
