date,headline_text,open,high,low,close,adj close,volume
2019-11-07,Karnataka HC stays NCLT proceedings against Flipkart,44.950001,45.0,43.099998,43.700001,43.360188,7171.0
2019-11-08,Freshers and students log on to upskill,43.599998,44.900002,43.200001,44.299999,43.955521,11819.0
2019-11-11,TN Seshan; former CEC who tamed politicians; dies at 86,43.849998,43.900002,41.650002,42.950001,42.61602,13643.0
2019-11-13,Unauthorised use of PM; President photographs for promotion of trade and business could attract stiffer penalties,43.400002,44.400002,42.150002,43.200001,42.864075,14505.0
2019-11-14,Narayana Murthy's son Rohan Murty to marry Aparna Krishnan,42.049999,43.0,41.5,41.650002,41.32613,5412.0
2019-11-15,More Indians; including diaspora; heading to Ireland,40.5,41.0,39.549999,39.75,39.440903,51619.0
2019-11-18,Illegal cancer drugs from Bangladesh flood local market,40.950001,40.950001,38.049999,38.700001,38.399067,22868.0
2019-11-19,Risks from pharma residue in water unassessed: Oecd,39.75,40.0,38.700001,39.450001,39.143238,13536.0
2019-11-20,Electric cars drive into luxury segment,39.799999,40.900002,38.400002,38.849998,38.547901,18279.0
2019-11-21,Sebi tightens norms for default disclosure by companies,39.0,39.650002,38.950001,39.099998,38.795956,10337.0
2019-11-22,Government formation in last lap; NCP-Congress to talk power-sharing with Shiv Sena today,40.150002,40.150002,38.299999,38.599998,38.299843,7304.0
2019-11-25,Zomato frontrunner to acquire UberEats,40.5,40.5,38.200001,39.25,38.94479,8625.0
2019-11-26,Amazon India to add bus; train; hotel bookings,39.049999,40.400002,38.700001,39.150002,38.84557,11402.0
2019-11-27,Landlines get a boost in J&K as shutdown affects mobile networks,38.75,39.849998,38.75,39.150002,38.84557,6688.0
2019-11-28,Muralitharan personally invited to be governor by Sri Lanka president,39.150002,39.5,38.5,38.599998,38.299843,11095.0
2019-11-29,EU Parliament declares climate emergency in symbolic move,39.0,40.349998,37.450001,39.150002,38.84557,65315.0
2019-12-02,House panel to vote on Ukraine report as Trump mulls defense,39.049999,39.650002,38.599998,38.849998,38.547901,6771.0
2019-12-03,BC-AP News Digest 2 pm,38.150002,39.700001,38.150002,38.599998,38.299843,7419.0
2019-12-04,Truecaller to launch credit services in early '20,38.549999,39.900002,38.099998,39.599998,39.292068,15508.0
2019-12-05,Millennials are more credit conscious; shows CIBIL study,39.200001,40.0,38.5,38.799999,38.498291,5402.0
2019-12-06,Ashok Leyland to take 2 to 12 non-working days in December,39.450001,39.5,37.75,38.0,37.70451,9954.0
2019-12-09,Solo; but not lonely: Desi women opting to travel alone rises by 75%,37.5,38.700001,36.0,36.75,36.46423,20900.0
2019-12-10,Skoda-VW plans 2 mths of shutdown next year,36.849998,37.049999,35.349998,35.900002,35.620842,17738.0
2019-12-11,Karvy scam to expedite consolidation in broking biz,37.299999,37.299999,35.650002,35.849998,35.571228,7298.0
2019-12-12,Lower airfares make year-end domestic travel cheaper,36.799999,37.049999,35.400002,35.650002,35.372787,16295.0
2019-12-13,Maruti Suzuki clocks just under 4 lakh BSVI sales in April-Nov 19,36.049999,36.150002,35.5,35.650002,35.372787,21755.0
2019-12-16,Most dues paid; but Essar Steel's promoters not off the hook yet,36.400002,36.450001,35.400002,35.549999,35.273563,3892.0
2019-12-17,Sena remains Hindutva-vadi; not converted: Uddhav Thackeray,35.700001,36.200001,35.25,35.599998,35.323174,11548.0
2019-12-18,What is Citizenship (Amendment) Bill 2019: All you need to know,36.900002,36.950001,35.5,35.700001,35.422398,9149.0
2019-12-19,Gandhi's ideas an inspiration to non-violent resistance against authoritarianism: Portugal PM,36.0,36.700001,34.400002,35.599998,35.323174,13598.0
2019-12-20,Chit fund industry in crisis as subscriber numbers dip,35.099998,36.549999,35.099998,35.650002,35.372787,4612.0
2019-12-23,My list of misses is longer than hits: MD Orios Venture Partners,35.700001,35.900002,35.099998,35.400002,35.124729,6316.0
2019-12-24,Lucas TVS to exit auto lighting JV with Koito,35.450001,35.599998,35.200001,35.200001,34.926285,2471.0
2019-12-26,Renault kicks off Triber exports,35.200001,35.900002,34.75,35.150002,34.876675,7644.0
2019-12-27,Karvy Group CMD resigns from Granules India board,35.700001,39.900002,35.200001,38.049999,37.75412,95644.0
2019-12-30,2019 Land Rover Discovery Sport review: Drive with no regrets,37.700001,40.400002,36.700001,38.849998,38.547901,184498.0
2019-12-31,Shriram Group looks to dilute 5% each in life & non-life businesses,38.849998,44.599998,38.799999,41.150002,40.830017,555922.0
2020-01-01,Karvy goes for rejig; new CEO for financial services business,40.099998,42.0,40.099998,41.0,40.681183,45775.0
2020-01-02,Women-led startups still a distant dream,41.400002,42.5,41.0,41.5,41.177296,46151.0
2020-01-03,Bank Holidays in 2020,41.450001,42.150002,40.5,40.900002,40.581963,43517.0
2020-01-06,Tea Inc fears exports loss over US-Iran row,40.0,40.650002,38.0,38.349998,38.051788,33214.0
2020-01-07,Govt approves 2;600 EV charging stations,39.700001,40.599998,38.75,39.25,38.94479,28381.0
2020-01-08,Harsh winter season spells happiness for apparel retailers,38.5,40.400002,37.650002,38.950001,38.647125,35899.0
2020-01-09,MCA orders probe into Karvy scam,41.400002,41.400002,39.299999,40.25,39.937016,41916.0
2020-01-10,Banks may lose up to Rs 1;800cr on zero MDR,40.450001,41.0,39.099998,39.400002,39.093628,27747.0
2020-01-13,Forensic auditor has given clean chit; say RCap arms,39.900002,41.900002,39.549999,41.700001,41.37574,50629.0
2020-01-14,By 2030; 57% of global power demand should be met by renewables: IRENA,46.799999,47.0,44.049999,44.400002,44.054745,235956.0
2020-01-15,As jobs get data savvy; techies take to digital marketing courses,43.25,45.0,43.0,43.849998,43.509022,44161.0
2020-01-16,Audi India to sell only petrol cars for now,44.049999,46.0,44.0,44.700001,44.352413,56748.0
2020-01-17,Public transport proximity key to renting houses: Survey,46.950001,47.5,46.099998,46.400002,46.039192,172731.0
2020-01-20,Govt moves to limit duty-free alcohol to 1 bottle; slash number of cigarettes,46.5,46.950001,43.799999,44.25,43.90591,38595.0
2020-01-21,As India opts out of RCEP ice creams set to get dearer by 8%,45.0,45.0,43.849998,44.25,43.90591,17695.0
2020-01-22,Ikea takes online route in Pune,44.25,45.0,43.349998,43.700001,43.360188,16769.0
2020-01-23,We would like to promote electric as a mainstream solution: TaMo,44.200001,44.25,43.400002,43.5,43.161743,18058.0
2020-01-24,China seals five cities to halt spread of virulent coronavirus as cases climb to over 630,43.549999,44.5,43.5,43.900002,43.558636,26406.0
2020-01-27,As govt decides to go global with tribal products; focus on quality standards,43.75,44.150002,43.0,43.150002,42.814465,17176.0
2020-01-28,JITO Angel Network invests $2;25;000 in aagey.com; Aadar,44.599998,44.900002,43.5,43.75,43.409798,53283.0
2020-01-29,Rajinikanth twists ankle while shooting for 'Man vs Wild',44.0,44.400002,43.049999,43.549999,43.211353,22104.0
2020-01-30,Mercedes Benz India to launch 10 to 12 new products in 2020,43.349998,43.349998,42.25,42.400002,42.070297,12757.0
2020-01-31,USFDA warns Aurobindo of action against Unit VII,42.75,42.75,41.25,41.599998,41.276516,12595.0
2020-02-03,Between 2 tax regimes; no one will be worse off: Revenue secretary,40.549999,41.299999,39.400002,39.700001,39.391293,6612.0
2020-02-04,BPCL partners Kinetic & IIT M; enters EV space,41.599998,42.400002,41.299999,41.849998,41.52457,63856.0
2020-02-05,E-sellers bet big on vintage cars; bikes,41.849998,42.799999,40.099998,40.599998,40.28429,14245.0
2020-02-06,Chinese brands gain share in refurbished phone market,40.150002,41.450001,40.0,40.650002,40.333908,13523.0
2020-02-07,PSBs education loans approval rate shrinks 24% in three years,41.0,41.0,39.599998,40.0,39.688957,10834.0
2020-02-10,Rebel Foods targets $1 billion valuation,40.150002,42.700001,39.450001,41.549999,41.226906,22939.0
2020-02-11,Missile shield over Delhi: India may buy NASAMS-II air defence system from US,42.950001,43.0,41.0,41.200001,40.879627,34373.0
2020-02-12,Sundaram Finance Q3 net up 6.4%,40.700001,41.900002,40.599998,40.700001,40.383518,17096.0
2020-02-13,Ashok Leyland profit tumbles more than 90% to Rs 28 cr,40.700001,40.700001,37.25,38.400002,38.101402,23465.0
2020-02-14,Exports positive despite slowdown in Motown,38.150002,39.099998,37.549999,37.950001,37.6549,16447.0
2020-02-17,DRL to initiate voluntary action at Duvvada unit,38.349998,38.450001,36.849998,37.099998,36.811508,15940.0
2020-02-18,ICC women's WC brings cheer to travel to Aus,36.799999,38.700001,36.099998,37.900002,37.605289,25822.0
2020-02-19,Irdai: LIC offer will improve governance; disclosure,39.200001,41.849998,38.650002,41.349998,41.028461,71643.0
2020-02-20,India dedicates $2 billion a year to DRR,41.0,44.200001,40.5,43.099998,42.764851,67641.0
2020-02-24,Trump express optimism for US peace deal with Taliban,41.299999,48.849998,41.299999,45.700001,45.344635,188841.0
2020-02-25,Foundry sector records 10%-15% drop in demand due to poor tractor sales,46.0,47.5,44.5,44.599998,44.253189,54869.0
